cons,pros,summary,advice-to-mgmt,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,company
2.688888889,3.589285714,5,3,5,4,5,5,4,5,google
3.00489418,3.511458333,3.4,4,4,2,3,3,5,3,google
3.103871795,3.304669553,4.1,3,5,5,4,5,5,4,google
3.231741863,3.411862245,4.5,3.52,5,2,5,5,4,5,google
3.270740093,3.323781179,3.975,3.5625,5,5,5,5,5,5,google
2.575,3.833333333,4.2,3,5,4,4,4,5,4,google
2.75,4.5,3,3,5,5,4,4,5,4,google
3,3,4.6,3,5,5,5,5,5,5,google
3.133333333,3.651851852,3.333333333,3,5,5,5,5,5,5,google
3,5,3,3,5,5,5,5,5,5,google
2.8,3.428571429,4.2,3,5,4,5,4,4,3,google
3.24,2.75,3,3,5,5,5,5,5,5,google
3.4,3.75,5,3,5,5,5,5,5,5,google
3.493333333,4.6,5,3,5,5,5,5,4,4,google
2.4,3.564285714,3,3,5,4,5,3,5,5,google
2.8,4.6,3,3,5,none,none,none,none,none,google
2.8,4.5,3,3,5,4,5,5,5,4,google
3.05,4.3,3,3,5,none,none,2,none,none,google
3.155555556,3.6,3.877777778,3,5,5,5,5,5,5,google
3,4.6,3,3,5,5,5,5,5,5,google
2.666666667,4.6,4.4,3,5,3,4,3,4,5,google
4.6,4,4.6,3,5,5,5,5,5,5,google
3,5,3,3,5,none,none,5,none,none,google
3,5,3,3,5,none,none,none,none,none,google
3.32,3,3,3,5,5,5,5,5,5,google
2.416666667,4,4.4,3,5,4,5,4,5,5,google
3.288888889,4.3,4.6,3,5,3,5,4,5,3,google
3.30625,3.35,3.5,2.550595238,5,5,5,5,5,5,google
2.8,4.133333333,4.6,3,5,4,5,5,5,5,google
3.2,4.333333333,4.6,3,5,none,none,none,none,none,google
4.75,3.136363636,3,3,5,none,none,none,none,none,google
3.003333333,3.747619048,3,3,3,4,5,5,5,5,google
3,4.82,4.82,3,5,5,5,5,5,5,google
3.089285714,3.812121212,5,3,4,5,5,4,4,4,google
2.416666667,3,3,3,5,3,4,4,5,4,google
2.9,4.3,4.4,3,5,5,5,5,5,5,google
3,4.4,3,3,4,5,4,3,4,3,google
2.7,3.35,4.4,3,4,4,3,3,4,3,google
2.925,3.688095238,3.1,2.733333333,3,2,3,5,5,3,google
3,4.2,5,3,5,3,5,5,5,4,google
3.2,4.033333333,3,3,4,none,none,none,none,none,google
3.5,3.123333333,2.416666667,3,5,4,4,5,5,3,google
3,3,3,3,3,3,2,3,4,1,google
3.5,4.033333333,4.6,3,5,5,3,5,4,5,google
2,3.966666667,3.454545455,3,5,5,5,4,4,4,google
